date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:43:06	37368/37368	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:44%20GMT	https://html.iwthemes.com/sportscup/run/page-pricing.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/page-pricing.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:07	37838/37838	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:44%20GMT	https://html.iwthemes.com/sportscup/run/page-register.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/page-register.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:07	37937/37937	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:36%20GMT	https://html.iwthemes.com/sportscup/run/feature-header-footer-1.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/feature-header-footer-1.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:07	41217/41217	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:36%20GMT	https://html.iwthemes.com/sportscup/run/feature-header-footer-2.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/feature-header-footer-2.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:07	38409/38409	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:36%20GMT	https://html.iwthemes.com/sportscup/run/feature-header-footer-3.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/feature-header-footer-3.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:08	48624/48624	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:42%20GMT	https://html.iwthemes.com/sportscup/run/page-about.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/page-about.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:08	50095/50095	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:46%20GMT	https://html.iwthemes.com/sportscup/run/services.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/services.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:08	41229/41229	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:42%20GMT	https://html.iwthemes.com/sportscup/run/news-right-sidebar.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/news-right-sidebar.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:09	37930/37930	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:40%20GMT	https://html.iwthemes.com/sportscup/run/news-no-sidebar.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/news-no-sidebar.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:09	44419/44419	---MCZ	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202018%2021:24:46%20GMT	https://html.iwthemes.com/sportscup/run/single-news.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/single-news.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:09	199/199	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2008:13:09%20GMT	https://html.iwthemes.com/sportscup/run/index-1.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/index-1.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:09	75597/75597	---M--	200	added ('OK')	image/jpeg	etag:%221274d-562a9b67a0b80%22	https://html.iwthemes.com/sportscup/run/img/slide/3.jpg	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/img/slide/3.jpg	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:10	63011/63011	---M--	200	added ('OK')	image/jpeg	etag:%22f623-562a9b65b8700%22	https://html.iwthemes.com/sportscup/run/img/slide/2.jpg	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/img/slide/2.jpg	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:10	69179/69179	---M--	200	added ('OK')	image/jpeg	etag:%2210e3b-562a9b65b8700%22	https://html.iwthemes.com/sportscup/run/img/slide/1.jpg	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/img/slide/1.jpg	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:10	199/199	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2008:13:10%20GMT	https://html.iwthemes.com/sportscup/run/group-list.html	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/group-list.html	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:10	1320/1320	---M--	200	added ('OK')	image/png	etag:%22528-562a9b3050900%22	https://html.iwthemes.com/sportscup/run/img/clubs-logos/rusia.png	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/img/clubs-logos/rusia.png	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:11	4655/4655	---M--	200	added ('OK')	image/png	etag:%22122f-562a9b28af700%22	https://html.iwthemes.com/sportscup/run/img/clubs-logos/arabia.png	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/img/clubs-logos/arabia.png	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:11	1982/1982	---M--	200	added ('OK')	image/png	etag:%227be-562a9b2c80000%22	https://html.iwthemes.com/sportscup/run/img/clubs-logos/egy.png	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/img/clubs-logos/egy.png	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:11	3015/3015	---M--	200	added ('OK')	image/png	etag:%22bc7-562a9b3238d80%22	https://html.iwthemes.com/sportscup/run/img/clubs-logos/uru.png	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/img/clubs-logos/uru.png	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:11	3651/3651	---M--	200	added ('OK')	image/png	etag:%22e43-562a9b3050900%22	https://html.iwthemes.com/sportscup/run/img/clubs-logos/por.png	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/img/clubs-logos/por.png	(from https://html.iwthemes.com/sportscup/run/index.html)
13:43:12	3268/3268	---M--	200	added ('OK')	image/png	etag:%22cc4-562a9b2c80000%22	https://html.iwthemes.com/sportscup/run/img/clubs-logos/esp.png	C:/Users/AJAY/Desktop/spo/html.iwthemes.com/sportscup/run/img/clubs-logos/esp.png	(from https://html.iwthemes.com/sportscup/run/index.html)
